start_station_name,num
"Exhibition Road Museums 1, South Kensington",31441
"Paddington Green, Paddington",31280
"Spencer Park, Wandsworth Common",31134
"Fore Street Avenue, Guildhall",31132
"Ladbroke Grove Central, Ladbroke Grove",31056
"Melton Street, Euston",30869
"Cantrell Road, Bow",30862
"Exhibition Road Museums 2, South Kensington",30576
"Hammersmith Town Hall, Hammersmith",30079
"Euston Square Gardens, Euston",30060
"Evesham Street, Avondale",29867
"Canada Water Station, Rotherhithe",29593
"Nantes Close, Wandsworth",29583
"Fawcett Close, Battersea",29251
"Preston's Road, Cubitt Town",29019
"Upper Richmond Road, Putney",28972
"Store Street, Bloomsbury",28712
"Lord's, St. John's Wood",28445
"Kingsway, Covent Garden",28267
"Ingrave Street, Clapham Junction",28228
"St. Mary & St. Michael Church, Stepney",28047
"Hampstead Road (Cartmel), Euston",27000
"Lansdowne Walk, Ladbroke Grove",26929
"Langdon Park, Poplar",26742
"The Metropolitan, Portobello",26522
"Limburg Road, Clapham Junction",26346
"Oxford Road, Putney",26237
"Bermondsey Station, Bermondsey",25972
"Wynne Road, Stockwell",25944
"Gascoyne Road, Victoria Park",25818
"Mudchute DLR, Cubitt Town",25778
"Mexfield Road, East Putney",25708
"Stebondale Street, Cubitt Town",25507
"Allington street, Westminster",24366
"Morie Street, Wandsworth",23854
"Spanish Road, Clapham Junction",23446
"Sirdar Road, Avondale",23434
"Victoria Rise, Clapham Common",22859
"Here East South, Queen Elizabeth Olympic Park",22839
"The Vale, West Chelsea",22743
"Rotherhithe Roundabout, Rotherhithe",22456
"Millharbour, Millwall",21573
"Esmond Street, Putney",21168
"Aberfeldy Street, Poplar",21158
"Vereker Road North, West Kensington",20916
"Montgomery Square, Canary Wharf",20809
"St. John's Park, Cubitt Town",19965
"Santos Road, Wandsworth",19609
"Portugal Street, Holborn",18698
"Malmesbury Road, Bow",18053
"London Street, Paddington",17499
"Ferndale Road, Brixton. ",17018
"Thurtle Road, Haggerston",16892
"Teviot Street, Poplar",15588
"Oval Way, Vauxhall",15161
"Vaughan Way, Wapping",14739
"Stockwell Roundabout, Stockwell",13418
"Clapham Common North side, Clapham Common",12594
"Thessaly Road North, Wandsworth Road",12088
"Colet Gardens, Hammersmith",11502
"Queen Street, Bank",11328
"Lansdowne Way Bus Garage, Stockwell",11269
"Rodney Street, Angel",10962
Imperial Wharf Station,10495
"South Quay East, Canary Wharf",10425
"Lodge Road, St. John's Wood",9478
"Green Park Station, West End",8850
"Bevington Road, North Kensington",8396
"Lansdowne Drive, Hackney Central",8325
"Manfred Road, East Putney",8216
"Hibbert Street, Clapham Junction",7145
"Embankment (Horse Guards), Westminster",6811
"Grant Road West, Clapham Junction",6681
"Exhibition Road Museums, Knightsbridge",6681
"Blythe Road, Olympia",6646
"Castalia Square, Cubitt Town",6152
"Theobalds Road , Holborn",5491
"Limerston Street, Chelsea",5488
"Park Road (Baker Street), Regent's Park",5304
"Pitfield Street (North),Hoxton",5156
"Columbia Road, Weavers",5027
"Drayton Gardens, Chelsea",4808
"Cadogan Gardens, Sloane Square",4726
"Abingdon Green, Great College Street",4669
"Thornfield House, Poplar",4631
"Nantes Close, Clapham Junction",4600
"Queen Marys, Mile End",4171
"Great Dover Street, Borough",3928
"Edgware Road Station, Paddington",3887
"Fishermans Walk West, Canary Wharf",3809
"Millbank House, Pimlico",3799
"Cleveland Way, Bethnal Green",3709
"Burgess Park Albany Road, Walworth",3629
"Sidney Street, Stepney",3575
"Goldsmiths Row, Haggerston",3560
"Fawcett Close, Clapham Junction",3512
"Prince Albert Road, Regent's Park",3465
"Walworth Road, Southwark",3452
"Hoxton Station, Haggerston",3444
"Normand Park, Fulham",3430
"New Road  2, Whitechapel",3342
"St Katharines Way, Tower",3323
"Bethnal Green Gardens, Bethnal Green",3323
"The Tennis Courts, Regent's Park",3303
"Albany Street, Regent's Park",3242
"Austin Road, Battersea",3184
"London Zoo Car Park, Regent's Park",3122
"Gun Makers Lane, Old Ford",3035
"Wells Street, Fitzrovia ",3010
"Grant Road Central, Clapham Junction",2963
"Victory place, Walworth",2834
"Longford Street, Regent's Park",2776
"Haggerston Road, Haggerston ",2616
"Simpson Street, Battersea",2585
"Altab Ali Park, Whitechapel",2570
"London Zoo, Regents Park",2391
"New Kent Road, Borough",2236
"Strata, Southwark",2223
"Churchill Place, Canary Wharf",2208
"St. John's Wood Church, Regent's Park",2034
"Brandon Street, Walworth",1998
"Clapham Common Northside, Clapham Common",1954
"Hansard Mews, Shepherds Bush",1898
"Killick Street, Kings Cross",1881
"Bradmead, Nine Elms",1792
"South Quay West, Canary Wharf",1724
"Waterloo Roundabout, Waterloo",1678
"Coomer Place, West Kensington_OLD",1675
"Harper Road, Borough",1660
"Rathbone Street, Fitzrovia ",1655
"Sugden Road, Battersea",1554
"St Martin's Close, Camden Town",1475
"Russell Gardens, Holland Park",1463
"Victoria and Albert Museum, Cromwell Road",1451
"Walmer Road, Notting Hill",1422
"Clarges Street, West End",1416
"St Mary's Hospital, Westminster",1382
"Queensway, Westminster",1274
"Usk Road, Battersea",1222
"Thessaly Road North, Nine Elms",1069
"Worship Street, Hackney",1066
"Bromley High Street, Bromley",985
"Upper Richmond Road, East Putney",978
"Clements Road, Bermondsey",977
"Harrington Square, Camden Town",911
"Ladbroke Grove Central, Notting Hill",896
"Oval Way, Lambeth",870
"Lansdowne Walk, Notting Hill",827
"St. Mary and St. Michael Church, Stepney",820
"Central House, Whitechapel",817
"Halford Road, Fulham",785
"Westfield Eastern Access Road, Shepherd's Bush",778
"Allington street, Westminster, SW1E 5EB",704
"Spanish Road, Wandsworth",666
"Stewart's Road, Nine Elms",663
"Harris Academy, Bermondsey",656
"Ingrave Street, Battersea",635
"Lansdown Drive, Hackney Central",630
"South Bermondsey Station, Bermondsey",608
"Chicheley Street, South Bank",555
"Queensway, Paddington",522
"The Blue, Bermondsey",483
"Limburg Road, Clapham Common",466
"St John's Park, Cubitt Town",449
Mechanical Workshop Penton,392
"Coborn Street, Mile End",340
"Exhibition Road, South Kensington",270
Import Dock,142
"Crimscott Street, Bermondsey",139
Pop Up Dock 1,126
"Wansey Street, Walworth",97
"Cartier Circle, Canary Wharf",75
Pop Up Dock 2,70
"Contact Centre, Southbury House",60
"Allington street, Off Victoria Street, Westminster",55
"Monier Road, Newham",34
Monier Road,11
LSP2,7
"Blackfriars road, Southwark",5
One London,4
LSP1,2
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,1
"York Way, Camden",1
