end_station_name,num
"Westminster Bridge Road, Elephant & Castle",30154
"Melton Street, Euston",30032
"Stebondale Street, Cubitt Town",29669
"Spencer Park, Wandsworth Common",29477
"Euston Square Gardens, Euston",29464
"Preston's Road, Cubitt Town",29291
"Orsett Terrace, Bayswater",28953
"Store Street, Bloomsbury",28565
"Kingsway, Covent Garden",28497
"Ingrave Street, Clapham Junction",28285
"Cantrell Road, Bow",28282
"Oxford Road, Putney",28081
"Upper Richmond Road, Putney",28062
"Nantes Close, Wandsworth",27974
"Bermondsey Station, Bermondsey",27519
"Langdon Park, Poplar",27239
"Fawcett Close, Battersea",27155
"Mudchute DLR, Cubitt Town",27087
"Paddington Green Police Station, Paddington",27041
"Morie Street, Wandsworth",26933
"Gascoyne Road, Victoria Park",26327
"Wynne Road, Stockwell",26313
"Paddington Green, Paddington",26116
"Limburg Road, Clapham Junction",26086
"Thurtle road, Haggerston",25804
"Greenberry Street, St.John's Wood",25501
"The Metropolitan, Portobello",25409
"Allington street, Westminster",24661
"Here East South, Queen Elizabeth Olympic Park",23502
"St. Mary & St. Michael Church, Stepney",23439
"Sirdar Road, Avondale",23423
"The Vale, West Chelsea",23245
"Mexfield Road, East Putney",22997
"Rotherhithe Roundabout, Rotherhithe",22708
"Esmond Street, Putney",22679
"Hampstead Road (Cartmel), Euston",22668
"Millharbour, Millwall",22470
"Victoria Rise, Clapham Common",22362
"Montgomery Square, Canary Wharf",22101
"New North Road 1, Hoxton",21979
"Aberfeldy Street, Poplar",21045
"Lansdowne Walk, Ladbroke Grove",21027
"Lord's, St. John's Wood",20327
"Vereker Road North, West Kensington",20204
,19721
"Ladbroke Grove Central, Ladbroke Grove",19590
"St. John's Park, Cubitt Town",19448
"Portugal Street, Holborn",19318
"Spanish Road, Clapham Junction",18531
"Ferndale Road, Brixton. ",17600
"Oval Way, Vauxhall",17586
"Santos Road, Wandsworth",16923
"Malmesbury Road, Bow",16314
"London Street, Paddington",16029
"Stockwell Roundabout, Stockwell",15767
"Teviot Street, Poplar",15674
"Vaughan Way, Wapping",15230
"Thurtle Road, Haggerston",12898
"Lansdowne Way Bus Garage, Stockwell",12457
"Colet Gardens, Hammersmith",12080
"Clapham Common North side, Clapham Common",11973
"Queen Street, Bank",11784
"South Quay East, Canary Wharf",11693
"Thessaly Road North, Wandsworth Road",11501
Imperial Wharf Station,10380
"Green Park Station, West End",8902
"Embankment (Horse Guards), Westminster",8439
"Lansdowne Drive, Hackney Central",8227
"Grant Road West, Clapham Junction",8155
"Lodge Road, St. John's Wood",7562
"Bevington Road, North Kensington",7159
"Exhibition Road Museums, Knightsbridge",7121
"Hibbert Street, Clapham Junction",7111
"Castalia Square, Cubitt Town",6663
"Rodney Street, Angel",6489
"Blythe Road, Olympia",6424
"Manfred Road, East Putney",6244
"Abingdon Green, Great College Street",6160
"Grant Road Central, Clapham Junction",5826
"Limerston Street, Chelsea",5711
"Thornfield House, Poplar",5469
"Theobalds Road , Holborn",5290
"Park Road (Baker Street), Regent's Park",5128
"Cadogan Gardens, Sloane Square",5025
"Drayton Gardens, Chelsea",4841
"Columbia Road, Weavers",4383
"Fishermans Walk West, Canary Wharf",4342
"Queen Marys, Mile End",4118
"Pitfield Street (North),Hoxton",4108
"Nantes Close, Clapham Junction",4060
"Millbank House, Pimlico",3786
"Great Dover Street, Borough",3733
"Cleveland Way, Bethnal Green",3727
"Burgess Park Albany Road, Walworth",3674
"New Road  2, Whitechapel",3568
"Sidney Street, Stepney",3553
"Walworth Road, Southwark",3538
"Fawcett Close, Clapham Junction",3466
"Normand Park, Fulham",3455
"The Tennis Courts, Regent's Park",3306
"Bethnal Green Gardens, Bethnal Green",3225
"Edgware Road Station, Paddington",3217
"Wells Street, Fitzrovia ",3126
"Hoxton Station, Haggerston",3111
"St Katharines Way, Tower",3044
"Gun Makers Lane, Old Ford",3003
"Goldsmiths Row, Haggerston",2986
"Prince Albert Road, Regent's Park",2971
"Austin Road, Battersea",2802
"London Zoo Car Park, Regent's Park",2801
"South Quay West, Canary Wharf",2695
"Simpson Street, Battersea",2643
"Altab Ali Park, Whitechapel",2619
"Albany Street, Regent's Park",2586
"Haggerston Road, Haggerston ",2485
"Churchill Place, Canary Wharf",2394
"New Kent Road, Borough",2291
"Longford Street, Regent's Park",2259
"London Zoo, Regents Park",2219
"Hansard Mews, Shepherds Bush",2115
"Victory place, Walworth",2091
"Strata, Southwark",2024
"Brandon Street, Walworth",1997
"Clapham Common Northside, Clapham Common",1972
"Killick Street, Kings Cross",1852
"Waterloo Roundabout, Waterloo",1805
"Bradmead, Nine Elms",1797
"Westfield Eastern Access Road, Shepherd's Bush",1693
"Rathbone Street, Fitzrovia ",1691
"Coomer Place, West Kensington_OLD",1646
"Victoria and Albert Museum, Cromwell Road",1638
"St. John's Wood Church, Regent's Park",1595
"Queensway, Westminster",1546
"Clarges Street, West End",1521
"Harper Road, Borough",1360
"Worship Street, Hackney",1273
"Sugden Road, Battersea",1260
"Russell Gardens, Holland Park",1259
"Walmer Road, Notting Hill",1250
"St Martin's Close, Camden Town",1199
"Allington street, Westminster, SW1E 5EB",1112
"Usk Road, Battersea",1083
"Oval Way, Lambeth",1022
"Clements Road, Bermondsey",987
"Bromley High Street, Bromley",949
"St Mary's Hospital, Westminster",944
"Thessaly Road North, Nine Elms",895
"Upper Richmond Road, East Putney",880
"Halford Road, Fulham",812
"St. Mary and St. Michael Church, Stepney",805
"Central House, Whitechapel",778
Mechanical Workshop Clapham,777
"Harrington Square, Camden Town",740
Mechanical Workshop Penton,724
"Harris Academy, Bermondsey",666
"South Bermondsey Station, Bermondsey",665
"Lansdown Drive, Hackney Central",649
"Ingrave Street, Battersea",639
"Lansdowne Walk, Notting Hill",602
"Wansey Street, Walworth",594
"Chicheley Street, South Bank",589
"Stewart's Road, Nine Elms",572
"Spanish Road, Wandsworth",537
"Ladbroke Grove Central, Notting Hill",526
"Queensway, Paddington",510
"The Blue, Bermondsey",508
"Limburg Road, Clapham Common",481
"St John's Park, Cubitt Town",393
"Coborn Street, Mile End",315
"Exhibition Road, South Kensington",260
Import Dock,146
"Crimscott Street, Bermondsey",133
Pop Up Dock 1,110
"Contact Centre, Southbury House",60
"Cartier Circle, Canary Wharf",58
Pop Up Dock 2,52
"Allington street, Off Victoria Street, Westminster",51
"Monier Road, Newham",36
Monier Road,14
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,11
LSP1,7
LSP2,5
"Blackfriars road, Southwark",5
One London,4
Electrical Workshop PS,2
Canada Water Station,1
"York Way, Camden",1
